EvidenceID,CaseID,EvidenceType,Description,CollectedBy,CollectionDate,Status,EvidenceNumber,LocationFound,StorageLocation,CollectedOfficerID,ForensicLab,ForensicReport,ChainOfCustody,Photograph,Remarks
EVD00011,KSP/DIS011/2026/00011,Physical Weapon,Key forensic evidence collected for Cyber Crime by Mandya Officer 11.,Mandya Officer 11,2026-12-12,Verified & Cataloged,EV-2026-11,Mandya Cyber Crime PS Crime Scene,Central Station Locker,OFF171,FSL Mandya,FSL-REPORT-11,Intact Chain of Custody,evidence_11.jpg,Indexed via AI OCR
EVD00012,KSP/DIS012/2026/00012,Video Footage,Key forensic evidence collected for UPI Fraud by Hassan Officer 12.,Hassan Officer 12,2026-01-13,Verified & Cataloged,EV-2026-12,Hassan Traffic PS Crime Scene,Central Station Locker,OFF187,FSL Hassan,FSL-REPORT-12,Intact Chain of Custody,evidence_12.jpg,Indexed via AI OCR
EVD00013,KSP/DIS013/2026/00013,Digital Document,Key forensic evidence collected for Online Banking Fraud by Chamarajanagara Officer 13.,Chamarajanagara Officer 13,2026-02-14,Verified & Cataloged,EV-2026-13,Chamarajanagara Town PS Crime Scene,Central Station Locker,OFF203,FSL Chamarajanagara,FSL-REPORT-13,Intact Chain of Custody,evidence_13.jpg,Indexed via AI OCR
EVD00014,KSP/DIS014/2026/00014,Physical Weapon,Key forensic evidence collected for Identity Theft by Kodagu Officer 14.,Kodagu Officer 14,2026-03-15,Verified & Cataloged,EV-2026-14,Kodagu Central PS Crime Scene,Central Station Locker,OFF219,FSL Kodagu,FSL-REPORT-14,Intact Chain of Custody,evidence_14.jpg,Indexed via AI OCR
EVD00015,KSP/DIS015/2026/00015,Video Footage,Key forensic evidence collected for ATM Fraud by Dakshina Kannada (Mangaluru) Officer 15.,Dakshina Kannada (Mangaluru) Officer 15,2026-04-16,Verified & Cataloged,EV-2026-15,Dakshina Kannada (Mangaluru) Cyber Crime PS Crime Scene,Central Station Locker,OFF235,FSL Dakshina Kannada (Mangaluru),FSL-REPORT-15,Intact Chain of Custody,evidence_15.jpg,Indexed via AI OCR
EVD00016,KSP/DIS016/2026/00016,Digital Document,Key forensic evidence collected for Rape by Udupi Officer 1.,Udupi Officer 1,2026-05-17,Verified & Cataloged,EV-2026-16,Udupi Traffic PS Crime Scene,Central Station Locker,OFF236,FSL Udupi,FSL-REPORT-16,Intact Chain of Custody,evidence_16.jpg,Indexed via AI OCR
EVD00017,KSP/DIS017/2026/00017,Physical Weapon,Key forensic evidence collected for Sexual Assault by Uttara Kannada (Karwar) Officer 2.,Uttara Kannada (Karwar) Officer 2,2026-06-18,Verified & Cataloged,EV-2026-17,Uttara Kannada (Karwar) Town PS Crime Scene,Central Station Locker,OFF252,FSL Uttara Kannada (Karwar),FSL-REPORT-17,Intact Chain of Custody,evidence_17.jpg,Indexed via AI OCR
EVD00018,KSP/DIS018/2026/00018,Video Footage,Key forensic evidence collected for POCSO by Belagavi Officer 3.,Belagavi Officer 3,2026-07-19,Verified & Cataloged,EV-2026-18,Belagavi Central PS Crime Scene,Central Station Locker,OFF268,FSL Belagavi,FSL-REPORT-18,Intact Chain of Custody,evidence_18.jpg,Indexed via AI OCR
EVD00019,KSP/DIS019/2026/00019,Digital Document,Key forensic evidence collected for Domestic Violence by Dharwad Officer 4.,Dharwad Officer 4,2026-08-20,Verified & Cataloged,EV-2026-19,Dharwad Cyber Crime PS Crime Scene,Central Station Locker,OFF284,FSL Dharwad,FSL-REPORT-19,Intact Chain of Custody,evidence_19.jpg,Indexed via AI OCR
EVD00020,KSP/DIS020/2026/00020,Physical Weapon,Key forensic evidence collected for Illegal Weapons by Hubballi City Officer 5.,Hubballi City Officer 5,2026-09-21,Verified & Cataloged,EV-2026-20,Hubballi City Traffic PS Crime Scene,Central Station Locker,OFF300,FSL Hubballi City,FSL-REPORT-20,Intact Chain of Custody,evidence_20.jpg,Indexed via AI OCR
EVD00021,KSP/DIS021/2026/00021,Video Footage,Key forensic evidence collected for Drug Trafficking by Gadag Officer 6.,Gadag Officer 6,2026-10-22,Verified & Cataloged,EV-2026-21,Gadag Town PS Crime Scene,Central Station Locker,OFF316,FSL Gadag,FSL-REPORT-21,Intact Chain of Custody,evidence_21.jpg,Indexed via AI OCR
EVD00022,KSP/DIS022/2026/00022,Digital Document,Key forensic evidence collected for Human Trafficking by Haveri Officer 7.,Haveri Officer 7,2026-11-23,Verified & Cataloged,EV-2026-22,Haveri Central PS Crime Scene,Central Station Locker,OFF332,FSL Haveri,FSL-REPORT-22,Intact Chain of Custody,evidence_22.jpg,Indexed via AI OCR
EVD00023,KSP/DIS023/2026/00023,Physical Weapon,Key forensic evidence collected for Gambling by Vijayapura Officer 8.,Vijayapura Officer 8,2026-12-24,Verified & Cataloged,EV-2026-23,Vijayapura Cyber Crime PS Crime Scene,Central Station Locker,OFF348,FSL Vijayapura,FSL-REPORT-23,Intact Chain of Custody,evidence_23.jpg,Indexed via AI OCR
EVD00024,KSP/DIS024/2026/00024,Video Footage,Key forensic evidence collected for Wildlife Crime by Bagalkote Officer 9.,Bagalkote Officer 9,2026-01-25,Verified & Cataloged,EV-2026-24,Bagalkote Traffic PS Crime Scene,Central Station Locker,OFF364,FSL Bagalkote,FSL-REPORT-24,Intact Chain of Custody,evidence_24.jpg,Indexed via AI OCR
EVD00025,KSP/DIS025/2026/00025,Digital Document,Key forensic evidence collected for Forest Crime by Kalaburagi Officer 10.,Kalaburagi Officer 10,2026-02-26,Verified & Cataloged,EV-2026-25,Kalaburagi Town PS Crime Scene,Central Station Locker,OFF380,FSL Kalaburagi,FSL-REPORT-25,Intact Chain of Custody,evidence_25.jpg,Indexed via AI OCR
EVD00026,KSP/DIS026/2026/00026,Physical Weapon,Key forensic evidence collected for Terror Related Activity by Bidar Officer 11.,Bidar Officer 11,2026-03-27,Verified & Cataloged,EV-2026-26,Bidar Central PS Crime Scene,Central Station Locker,OFF396,FSL Bidar,FSL-REPORT-26,Intact Chain of Custody,evidence_26.jpg,Indexed via AI OCR
EVD00027,KSP/DIS027/2026/00027,Video Footage,Key forensic evidence collected for Corruption by Raichur Officer 12.,Raichur Officer 12,2026-04-28,Verified & Cataloged,EV-2026-27,Raichur Cyber Crime PS Crime Scene,Central Station Locker,OFF412,FSL Raichur,FSL-REPORT-27,Intact Chain of Custody,evidence_27.jpg,Indexed via AI OCR
EVD00028,KSP/DIS028/2026/00028,Digital Document,Key forensic evidence collected for Economic Offence by Koppal Officer 13.,Koppal Officer 13,2026-05-01,Verified & Cataloged,EV-2026-28,Koppal Traffic PS Crime Scene,Central Station Locker,OFF428,FSL Koppal,FSL-REPORT-28,Intact Chain of Custody,evidence_28.jpg,Indexed via AI OCR
EVD00029,KSP/DIS029/2026/00029,Physical Weapon,Key forensic evidence collected for White Collar Crime by Yadgir Officer 14.,Yadgir Officer 14,2026-06-02,Verified & Cataloged,EV-2026-29,Yadgir Town PS Crime Scene,Central Station Locker,OFF444,FSL Yadgir,FSL-REPORT-29,Intact Chain of Custody,evidence_29.jpg,Indexed via AI OCR
EVD00030,KSP/DIS030/2026/00030,Video Footage,Key forensic evidence collected for Smuggling by Ballari Officer 15.,Ballari Officer 15,2026-07-03,Verified & Cataloged,EV-2026-30,Ballari Central PS Crime Scene,Central Station Locker,OFF460,FSL Ballari,FSL-REPORT-30,Intact Chain of Custody,evidence_30.jpg,Indexed via AI OCR
EVD00031,KSP/DIS031/2026/00031,Digital Document,Key forensic evidence collected for Extortion by Vijayanagara (Hospete) Officer 1.,Vijayanagara (Hospete) Officer 1,2026-08-04,Verified & Cataloged,EV-2026-31,Vijayanagara (Hospete) Cyber Crime PS Crime Scene,Central Station Locker,OFF461,FSL Vijayanagara (Hospete),FSL-REPORT-31,Intact Chain of Custody,evidence_31.jpg,Indexed via AI OCR
EVD00032,KSP/DIS001/2026/00032,Physical Weapon,Key forensic evidence collected for Blackmail by Bengaluru Urban Officer 5.,Bengaluru Urban Officer 5,2026-09-05,Verified & Cataloged,EV-2026-32,Cubbon Park Police Station Crime Scene,Central Station Locker,OFF015,FSL Bengaluru Urban,FSL-REPORT-32,Intact Chain of Custody,evidence_32.jpg,Indexed via AI OCR
EVD00033,KSP/DIS002/2026/00033,Video Footage,Key forensic evidence collected for Counterfeit Currency by Bengaluru Rural Officer 3.,Bengaluru Rural Officer 3,2026-10-06,Verified & Cataloged,EV-2026-33,Bengaluru Rural Town PS Crime Scene,Central Station Locker,OFF028,FSL Bengaluru Rural,FSL-REPORT-33,Intact Chain of Custody,evidence_33.jpg,Indexed via AI OCR
EVD00034,KSP/DIS003/2026/00034,Digital Document,Key forensic evidence collected for Fake Documents by Ramanagara Officer 4.,Ramanagara Officer 4,2026-11-07,Verified & Cataloged,EV-2026-34,Ramanagara Central PS Crime Scene,Central Station Locker,OFF044,FSL Ramanagara,FSL-REPORT-34,Intact Chain of Custody,evidence_34.jpg,Indexed via AI OCR
EVD00035,KSP/DIS004/2026/00035,Physical Weapon,Key forensic evidence collected for Hit and Run by Chikkaballapura Officer 5.,Chikkaballapura Officer 5,2026-12-08,Verified & Cataloged,EV-2026-35,Chikkaballapura Cyber Crime PS Crime Scene,Central Station Locker,OFF060,FSL Chikkaballapura,FSL-REPORT-35,Intact Chain of Custody,evidence_35.jpg,Indexed via AI OCR
EVD00036,KSP/DIS005/2026/00036,Video Footage,Key forensic evidence collected for Road Accident by Kolar Officer 6.,Kolar Officer 6,2026-01-09,Verified & Cataloged,EV-2026-36,Kolar Traffic PS Crime Scene,Central Station Locker,OFF076,FSL Kolar,FSL-REPORT-36,Intact Chain of Custody,evidence_36.jpg,Indexed via AI OCR
EVD00037,KSP/DIS006/2026/00037,Digital Document,Key forensic evidence collected for Fire Incident by Tumakuru Officer 7.,Tumakuru Officer 7,2026-02-10,Verified & Cataloged,EV-2026-37,Tumakuru Town PS Crime Scene,Central Station Locker,OFF092,FSL Tumakuru,FSL-REPORT-37,Intact Chain of Custody,evidence_37.jpg,Indexed via AI OCR
EVD00038,KSP/DIS007/2026/00038,Physical Weapon,Key forensic evidence collected for Unknown Dead Body by Shivamogga Officer 8.,Shivamogga Officer 8,2026-03-11,Verified & Cataloged,EV-2026-38,Shivamogga Central PS Crime Scene,Central Station Locker,OFF108,FSL Shivamogga,FSL-REPORT-38,Intact Chain of Custody,evidence_38.jpg,Indexed via AI OCR
EVD00039,KSP/DIS008/2026/00039,Video Footage,Key forensic evidence collected for Suicide Investigation by Chitradurga Officer 9.,Chitradurga Officer 9,2026-04-12,Verified & Cataloged,EV-2026-39,Chitradurga Cyber Crime PS Crime Scene,Central Station Locker,OFF124,FSL Chitradurga,FSL-REPORT-39,Intact Chain of Custody,evidence_39.jpg,Indexed via AI OCR
EVD00040,KSP/DIS009/2026/00040,Digital Document,Key forensic evidence collected for Property Disputes by Davanagere Officer 10.,Davanagere Officer 10,2026-05-13,Verified & Cataloged,EV-2026-40,Davanagere Traffic PS Crime Scene,Central Station Locker,OFF140,FSL Davanagere,FSL-REPORT-40,Intact Chain of Custody,evidence_40.jpg,Indexed via AI OCR
EVD00041,KSP/DIS010/2026/00041,Physical Weapon,Key forensic evidence collected for Public Disturbance by Mysuru Officer 11.,Mysuru Officer 11,2026-06-14,Verified & Cataloged,EV-2026-41,Mysuru Town PS Crime Scene,Central Station Locker,OFF156,FSL Mysuru,FSL-REPORT-41,Intact Chain of Custody,evidence_41.jpg,Indexed via AI OCR
EVD00042,KSP/DIS011/2026/00042,Video Footage,Key forensic evidence collected for Synthetic Drugs (MDMA) by Mandya Officer 12.,Mandya Officer 12,2026-07-15,Verified & Cataloged,EV-2026-42,Mandya Central PS Crime Scene,Central Station Locker,OFF172,FSL Mandya,FSL-REPORT-42,Intact Chain of Custody,evidence_42.jpg,Indexed via AI OCR
EVD00043,KSP/DIS012/2026/00043,Digital Document,Key forensic evidence collected for Murder by Hassan Officer 13.,Hassan Officer 13,2026-08-16,Verified & Cataloged,EV-2026-43,Hassan Cyber Crime PS Crime Scene,Central Station Locker,OFF188,FSL Hassan,FSL-REPORT-43,Intact Chain of Custody,evidence_43.jpg,Indexed via AI OCR
EVD00044,KSP/DIS013/2026/00044,Physical Weapon,Key forensic evidence collected for Attempt to Murder by Chamarajanagara Officer 14.,Chamarajanagara Officer 14,2026-09-17,Verified & Cataloged,EV-2026-44,Chamarajanagara Traffic PS Crime Scene,Central Station Locker,OFF204,FSL Chamarajanagara,FSL-REPORT-44,Intact Chain of Custody,evidence_44.jpg,Indexed via AI OCR
EVD00045,KSP/DIS014/2026/00045,Video Footage,Key forensic evidence collected for Assault & Grievous Hurt by Kodagu Officer 15.,Kodagu Officer 15,2026-10-18,Verified & Cataloged,EV-2026-45,Kodagu Town PS Crime Scene,Central Station Locker,OFF220,FSL Kodagu,FSL-REPORT-45,Intact Chain of Custody,evidence_45.jpg,Indexed via AI OCR
EVD00046,KSP/DIS015/2026/00046,Digital Document,Key forensic evidence collected for Kidnapping by Dakshina Kannada (Mangaluru) Officer 1.,Dakshina Kannada (Mangaluru) Officer 1,2026-11-19,Verified & Cataloged,EV-2026-46,Dakshina Kannada (Mangaluru) Central PS Crime Scene,Central Station Locker,OFF221,FSL Dakshina Kannada (Mangaluru),FSL-REPORT-46,Intact Chain of Custody,evidence_46.jpg,Indexed via AI OCR
EVD00047,KSP/DIS016/2026/00047,Physical Weapon,Key forensic evidence collected for Missing Person by Udupi Officer 2.,Udupi Officer 2,2026-12-20,Verified & Cataloged,EV-2026-47,Udupi Cyber Crime PS Crime Scene,Central Station Locker,OFF237,FSL Udupi,FSL-REPORT-47,Intact Chain of Custody,evidence_47.jpg,Indexed via AI OCR
EVD00048,KSP/DIS017/2026/00048,Video Footage,Key forensic evidence collected for Theft by Uttara Kannada (Karwar) Officer 3.,Uttara Kannada (Karwar) Officer 3,2026-01-21,Verified & Cataloged,EV-2026-48,Uttara Kannada (Karwar) Traffic PS Crime Scene,Central Station Locker,OFF253,FSL Uttara Kannada (Karwar),FSL-REPORT-48,Intact Chain of Custody,evidence_48.jpg,Indexed via AI OCR
EVD00049,KSP/DIS018/2026/00049,Digital Document,Key forensic evidence collected for Vehicle Theft by Belagavi Officer 4.,Belagavi Officer 4,2026-02-22,Verified & Cataloged,EV-2026-49,Belagavi Town PS Crime Scene,Central Station Locker,OFF269,FSL Belagavi,FSL-REPORT-49,Intact Chain of Custody,evidence_49.jpg,Indexed via AI OCR
EVD00050,KSP/DIS019/2026/00050,Physical Weapon,Key forensic evidence collected for Burglary by Dharwad Officer 5.,Dharwad Officer 5,2026-03-23,Verified & Cataloged,EV-2026-50,Dharwad Central PS Crime Scene,Central Station Locker,OFF285,FSL Dharwad,FSL-REPORT-50,Intact Chain of Custody,evidence_50.jpg,Indexed via AI OCR
EVD00051,KSP/DIS020/2026/00051,Video Footage,Key forensic evidence collected for Robbery by Hubballi City Officer 6.,Hubballi City Officer 6,2026-04-24,Verified & Cataloged,EV-2026-51,Hubballi City Cyber Crime PS Crime Scene,Central Station Locker,OFF301,FSL Hubballi City,FSL-REPORT-51,Intact Chain of Custody,evidence_51.jpg,Indexed via AI OCR
EVD00052,KSP/DIS021/2026/00052,Digital Document,Key forensic evidence collected for Chain Snatching by Gadag Officer 7.,Gadag Officer 7,2026-05-25,Verified & Cataloged,EV-2026-52,Gadag Traffic PS Crime Scene,Central Station Locker,OFF317,FSL Gadag,FSL-REPORT-52,Intact Chain of Custody,evidence_52.jpg,Indexed via AI OCR
EVD00053,KSP/DIS022/2026/00053,Physical Weapon,Key forensic evidence collected for Cyber Crime by Haveri Officer 8.,Haveri Officer 8,2026-06-26,Verified & Cataloged,EV-2026-53,Haveri Town PS Crime Scene,Central Station Locker,OFF333,FSL Haveri,FSL-REPORT-53,Intact Chain of Custody,evidence_53.jpg,Indexed via AI OCR
EVD00054,KSP/DIS023/2026/00054,Video Footage,Key forensic evidence collected for UPI Fraud by Vijayapura Officer 9.,Vijayapura Officer 9,2026-07-27,Verified & Cataloged,EV-2026-54,Vijayapura Central PS Crime Scene,Central Station Locker,OFF349,FSL Vijayapura,FSL-REPORT-54,Intact Chain of Custody,evidence_54.jpg,Indexed via AI OCR
EVD00055,KSP/DIS024/2026/00055,Digital Document,Key forensic evidence collected for Online Banking Fraud by Bagalkote Officer 10.,Bagalkote Officer 10,2026-08-28,Verified & Cataloged,EV-2026-55,Bagalkote Cyber Crime PS Crime Scene,Central Station Locker,OFF365,FSL Bagalkote,FSL-REPORT-55,Intact Chain of Custody,evidence_55.jpg,Indexed via AI OCR
EVD00056,KSP/DIS025/2026/00056,Physical Weapon,Key forensic evidence collected for Identity Theft by Kalaburagi Officer 11.,Kalaburagi Officer 11,2026-09-01,Verified & Cataloged,EV-2026-56,Kalaburagi Traffic PS Crime Scene,Central Station Locker,OFF381,FSL Kalaburagi,FSL-REPORT-56,Intact Chain of Custody,evidence_56.jpg,Indexed via AI OCR
EVD00057,KSP/DIS026/2026/00057,Video Footage,Key forensic evidence collected for ATM Fraud by Bidar Officer 12.,Bidar Officer 12,2026-10-02,Verified & Cataloged,EV-2026-57,Bidar Town PS Crime Scene,Central Station Locker,OFF397,FSL Bidar,FSL-REPORT-57,Intact Chain of Custody,evidence_57.jpg,Indexed via AI OCR
EVD00058,KSP/DIS027/2026/00058,Digital Document,Key forensic evidence collected for Rape by Raichur Officer 13.,Raichur Officer 13,2026-11-03,Verified & Cataloged,EV-2026-58,Raichur Central PS Crime Scene,Central Station Locker,OFF413,FSL Raichur,FSL-REPORT-58,Intact Chain of Custody,evidence_58.jpg,Indexed via AI OCR
EVD00059,KSP/DIS028/2026/00059,Physical Weapon,Key forensic evidence collected for Sexual Assault by Koppal Officer 14.,Koppal Officer 14,2026-12-04,Verified & Cataloged,EV-2026-59,Koppal Cyber Crime PS Crime Scene,Central Station Locker,OFF429,FSL Koppal,FSL-REPORT-59,Intact Chain of Custody,evidence_59.jpg,Indexed via AI OCR
EVD00060,KSP/DIS029/2026/00060,Video Footage,Key forensic evidence collected for POCSO by Yadgir Officer 15.,Yadgir Officer 15,2026-01-05,Verified & Cataloged,EV-2026-60,Yadgir Traffic PS Crime Scene,Central Station Locker,OFF445,FSL Yadgir,FSL-REPORT-60,Intact Chain of Custody,evidence_60.jpg,Indexed via AI OCR
EVD00061,KSP/DIS030/2026/00061,Digital Document,Key forensic evidence collected for Domestic Violence by Ballari Officer 1.,Ballari Officer 1,2026-02-06,Verified & Cataloged,EV-2026-61,Ballari Town PS Crime Scene,Central Station Locker,OFF446,FSL Ballari,FSL-REPORT-61,Intact Chain of Custody,evidence_61.jpg,Indexed via AI OCR
EVD00062,KSP/DIS031/2026/00062,Physical Weapon,Key forensic evidence collected for Illegal Weapons by Vijayanagara (Hospete) Officer 2.,Vijayanagara (Hospete) Officer 2,2026-03-07,Verified & Cataloged,EV-2026-62,Vijayanagara (Hospete) Central PS Crime Scene,Central Station Locker,OFF462,FSL Vijayanagara (Hospete),FSL-REPORT-62,Intact Chain of Custody,evidence_62.jpg,Indexed via AI OCR
EVD00063,KSP/DIS001/2026/00063,Video Footage,Key forensic evidence collected for Drug Trafficking by Bengaluru Urban Officer 15.,Bengaluru Urban Officer 15,2026-04-08,Verified & Cataloged,EV-2026-63,Jayanagar Police Station Crime Scene,Central Station Locker,OFF025,FSL Bengaluru Urban,FSL-REPORT-63,Intact Chain of Custody,evidence_63.jpg,Indexed via AI OCR
EVD00064,KSP/DIS002/2026/00064,Digital Document,Key forensic evidence collected for Human Trafficking by Bengaluru Rural Officer 4.,Bengaluru Rural Officer 4,2026-05-09,Verified & Cataloged,EV-2026-64,Bengaluru Rural Traffic PS Crime Scene,Central Station Locker,OFF029,FSL Bengaluru Rural,FSL-REPORT-64,Intact Chain of Custody,evidence_64.jpg,Indexed via AI OCR
EVD00065,KSP/DIS003/2026/00065,Physical Weapon,Key forensic evidence collected for Gambling by Ramanagara Officer 5.,Ramanagara Officer 5,2026-06-10,Verified & Cataloged,EV-2026-65,Ramanagara Town PS Crime Scene,Central Station Locker,OFF045,FSL Ramanagara,FSL-REPORT-65,Intact Chain of Custody,evidence_65.jpg,Indexed via AI OCR
EVD00066,KSP/DIS004/2026/00066,Video Footage,Key forensic evidence collected for Wildlife Crime by Chikkaballapura Officer 6.,Chikkaballapura Officer 6,2026-07-11,Verified & Cataloged,EV-2026-66,Chikkaballapura Central PS Crime Scene,Central Station Locker,OFF061,FSL Chikkaballapura,FSL-REPORT-66,Intact Chain of Custody,evidence_66.jpg,Indexed via AI OCR
EVD00067,KSP/DIS005/2026/00067,Digital Document,Key forensic evidence collected for Forest Crime by Kolar Officer 7.,Kolar Officer 7,2026-08-12,Verified & Cataloged,EV-2026-67,Kolar Cyber Crime PS Crime Scene,Central Station Locker,OFF077,FSL Kolar,FSL-REPORT-67,Intact Chain of Custody,evidence_67.jpg,Indexed via AI OCR
EVD00068,KSP/DIS006/2026/00068,Physical Weapon,Key forensic evidence collected for Terror Related Activity by Tumakuru Officer 8.,Tumakuru Officer 8,2026-09-13,Verified & Cataloged,EV-2026-68,Tumakuru Traffic PS Crime Scene,Central Station Locker,OFF093,FSL Tumakuru,FSL-REPORT-68,Intact Chain of Custody,evidence_68.jpg,Indexed via AI OCR
EVD00069,KSP/DIS007/2026/00069,Video Footage,Key forensic evidence collected for Corruption by Shivamogga Officer 9.,Shivamogga Officer 9,2026-10-14,Verified & Cataloged,EV-2026-69,Shivamogga Town PS Crime Scene,Central Station Locker,OFF109,FSL Shivamogga,FSL-REPORT-69,Intact Chain of Custody,evidence_69.jpg,Indexed via AI OCR
EVD00070,KSP/DIS008/2026/00070,Digital Document,Key forensic evidence collected for Economic Offence by Chitradurga Officer 10.,Chitradurga Officer 10,2026-11-15,Verified & Cataloged,EV-2026-70,Chitradurga Central PS Crime Scene,Central Station Locker,OFF125,FSL Chitradurga,FSL-REPORT-70,Intact Chain of Custody,evidence_70.jpg,Indexed via AI OCR
EVD00071,KSP/DIS009/2026/00071,Physical Weapon,Key forensic evidence collected for White Collar Crime by Davanagere Officer 11.,Davanagere Officer 11,2026-12-16,Verified & Cataloged,EV-2026-71,Davanagere Cyber Crime PS Crime Scene,Central Station Locker,OFF141,FSL Davanagere,FSL-REPORT-71,Intact Chain of Custody,evidence_71.jpg,Indexed via AI OCR
EVD00072,KSP/DIS010/2026/00072,Video Footage,Key forensic evidence collected for Smuggling by Mysuru Officer 12.,Mysuru Officer 12,2026-01-17,Verified & Cataloged,EV-2026-72,Mysuru Traffic PS Crime Scene,Central Station Locker,OFF157,FSL Mysuru,FSL-REPORT-72,Intact Chain of Custody,evidence_72.jpg,Indexed via AI OCR
EVD00073,KSP/DIS011/2026/00073,Digital Document,Key forensic evidence collected for Extortion by Mandya Officer 13.,Mandya Officer 13,2026-02-18,Verified & Cataloged,EV-2026-73,Mandya Town PS Crime Scene,Central Station Locker,OFF173,FSL Mandya,FSL-REPORT-73,Intact Chain of Custody,evidence_73.jpg,Indexed via AI OCR
EVD00074,KSP/DIS012/2026/00074,Physical Weapon,Key forensic evidence collected for Blackmail by Hassan Officer 14.,Hassan Officer 14,2026-03-19,Verified & Cataloged,EV-2026-74,Hassan Central PS Crime Scene,Central Station Locker,OFF189,FSL Hassan,FSL-REPORT-74,Intact Chain of Custody,evidence_74.jpg,Indexed via AI OCR
EVD00075,KSP/DIS013/2026/00075,Video Footage,Key forensic evidence collected for Counterfeit Currency by Chamarajanagara Officer 15.,Chamarajanagara Officer 15,2026-04-20,Verified & Cataloged,EV-2026-75,Chamarajanagara Cyber Crime PS Crime Scene,Central Station Locker,OFF205,FSL Chamarajanagara,FSL-REPORT-75,Intact Chain of Custody,evidence_75.jpg,Indexed via AI OCR
