EvidenceID,CaseID,EvidenceType,Description,CollectedBy,CollectionDate,Status,EvidenceNumber,LocationFound,StorageLocation,CollectedOfficerID,ForensicLab,ForensicReport,ChainOfCustody,Photograph,Remarks
EVD016,KSP/DIS004/2026/0016,Video,Key evidence gathered for Kidnapping,Belagavi Sub Inspector,2026-05-15,Verified,EV202617,Belagavi Police Station jurisdiction,Central Evidence Room,OFF022,FSL Belagavi,FR17,Recorded,evidence17.jpg,AI OCR Scanned & indexed
EVD017,KSP/DIS005/2026/0017,Video,Key evidence gathered for Murder,Hubballi-Dharwad SP,2026-06-15,Verified,EV202618,Hubballi Town Police Station jurisdiction,Central Evidence Room,OFF023,FSL Hubballi-Dharwad,FR18,Recorded,evidence18.jpg,AI OCR Scanned & indexed
EVD018,KSP/DIS005/2026/0018,Image,Key evidence gathered for Attempt to Murder,Hubballi-Dharwad Inspector,2026-01-15,Verified,EV202619,Hubballi Town Police Station jurisdiction,Central Evidence Room,OFF024,FSL Hubballi-Dharwad,FR19,Recorded,evidence19.jpg,AI OCR Scanned & indexed
EVD019,KSP/DIS005/2026/0019,Document,Key evidence gathered for Cyber Crime,Hubballi-Dharwad Sub Inspector,2026-02-15,Verified,EV202620,Hubballi Town Police Station jurisdiction,Central Evidence Room,OFF025,FSL Hubballi-Dharwad,FR20,Recorded,evidence20.jpg,AI OCR Scanned & indexed
EVD020,KSP/DIS005/2026/0020,Video,Key evidence gathered for Theft,Hubballi-Dharwad SP,2026-03-15,Verified,EV202621,Hubballi Town Police Station jurisdiction,Central Evidence Room,OFF023,FSL Hubballi-Dharwad,FR21,Recorded,evidence21.jpg,AI OCR Scanned & indexed
EVD021,KSP/DIS006/2026/0021,Video,Key evidence gathered for Burglary,Shivamogga SP,2026-04-15,Verified,EV202622,Shivamogga Police Station jurisdiction,Central Evidence Room,OFF026,FSL Shivamogga,FR22,Recorded,evidence22.jpg,AI OCR Scanned & indexed
EVD022,KSP/DIS006/2026/0022,Image,Key evidence gathered for Narcotics Offence,Shivamogga Inspector,2026-05-15,Verified,EV202623,Shivamogga Police Station jurisdiction,Central Evidence Room,OFF027,FSL Shivamogga,FR23,Recorded,evidence23.jpg,AI OCR Scanned & indexed
EVD023,KSP/DIS006/2026/0023,Document,Key evidence gathered for Domestic Violence,Shivamogga Sub Inspector,2026-06-15,Verified,EV202624,Shivamogga Police Station jurisdiction,Central Evidence Room,OFF028,FSL Shivamogga,FR24,Recorded,evidence24.jpg,AI OCR Scanned & indexed
EVD024,KSP/DIS006/2026/0024,Video,Key evidence gathered for Kidnapping,Shivamogga SP,2026-01-15,Verified,EV202625,Shivamogga Police Station jurisdiction,Central Evidence Room,OFF026,FSL Shivamogga,FR25,Recorded,evidence25.jpg,AI OCR Scanned & indexed
EVD025,KSP/DIS007/2026/0025,Video,Key evidence gathered for Murder,Davanagere SP,2026-02-15,Verified,EV202626,Davanagere Town Police Station jurisdiction,Central Evidence Room,OFF029,FSL Davanagere,FR26,Recorded,evidence26.jpg,AI OCR Scanned & indexed
EVD026,KSP/DIS007/2026/0026,Image,Key evidence gathered for Attempt to Murder,Davanagere Inspector,2026-03-15,Verified,EV202627,Davanagere Town Police Station jurisdiction,Central Evidence Room,OFF030,FSL Davanagere,FR27,Recorded,evidence27.jpg,AI OCR Scanned & indexed
EVD027,KSP/DIS007/2026/0027,Document,Key evidence gathered for Cyber Crime,Davanagere Sub Inspector,2026-04-15,Verified,EV202628,Davanagere Town Police Station jurisdiction,Central Evidence Room,OFF031,FSL Davanagere,FR28,Recorded,evidence28.jpg,AI OCR Scanned & indexed
EVD028,KSP/DIS007/2026/0028,Video,Key evidence gathered for Theft,Davanagere SP,2026-05-15,Verified,EV202629,Davanagere Town Police Station jurisdiction,Central Evidence Room,OFF029,FSL Davanagere,FR29,Recorded,evidence29.jpg,AI OCR Scanned & indexed
EVD029,KSP/DIS008/2026/0029,Video,Key evidence gathered for Burglary,Ballari SP,2026-06-15,Verified,EV202630,Ballari Central Police Station jurisdiction,Central Evidence Room,OFF032,FSL Ballari,FR30,Recorded,evidence30.jpg,AI OCR Scanned & indexed
EVD030,KSP/DIS008/2026/0030,Image,Key evidence gathered for Narcotics Offence,Ballari Inspector,2026-01-15,Verified,EV202631,Ballari Central Police Station jurisdiction,Central Evidence Room,OFF033,FSL Ballari,FR31,Recorded,evidence31.jpg,AI OCR Scanned & indexed
EVD031,KSP/DIS008/2026/0031,Document,Key evidence gathered for Domestic Violence,Ballari Sub Inspector,2026-02-15,Verified,EV202632,Ballari Central Police Station jurisdiction,Central Evidence Room,OFF034,FSL Ballari,FR32,Recorded,evidence32.jpg,AI OCR Scanned & indexed
EVD032,KSP/DIS008/2026/0032,Video,Key evidence gathered for Kidnapping,Ballari SP,2026-03-15,Verified,EV202633,Ballari Central Police Station jurisdiction,Central Evidence Room,OFF032,FSL Ballari,FR33,Recorded,evidence33.jpg,AI OCR Scanned & indexed
EVD033,KSP/DIS009/2026/0033,Video,Key evidence gathered for Murder,Tumakuru SP,2026-04-15,Verified,EV202634,Tumakuru Town Police Station jurisdiction,Central Evidence Room,OFF035,FSL Tumakuru,FR34,Recorded,evidence34.jpg,AI OCR Scanned & indexed
EVD034,KSP/DIS009/2026/0034,Image,Key evidence gathered for Attempt to Murder,Tumakuru Inspector,2026-05-15,Verified,EV202635,Tumakuru Town Police Station jurisdiction,Central Evidence Room,OFF036,FSL Tumakuru,FR35,Recorded,evidence35.jpg,AI OCR Scanned & indexed
EVD035,KSP/DIS009/2026/0035,Document,Key evidence gathered for Cyber Crime,Tumakuru Sub Inspector,2026-06-15,Verified,EV202636,Tumakuru Town Police Station jurisdiction,Central Evidence Room,OFF037,FSL Tumakuru,FR36,Recorded,evidence36.jpg,AI OCR Scanned & indexed
EVD036,KSP/DIS009/2026/0036,Video,Key evidence gathered for Theft,Tumakuru SP,2026-01-15,Verified,EV202637,Tumakuru Town Police Station jurisdiction,Central Evidence Room,OFF035,FSL Tumakuru,FR37,Recorded,evidence37.jpg,AI OCR Scanned & indexed
EVD037,KSP/DIS010/2026/0037,Video,Key evidence gathered for Burglary,Udupi SP,2026-02-15,Verified,EV202638,Udupi Town Police Station jurisdiction,Central Evidence Room,OFF038,FSL Udupi,FR38,Recorded,evidence38.jpg,AI OCR Scanned & indexed
EVD038,KSP/DIS010/2026/0038,Image,Key evidence gathered for Narcotics Offence,Udupi Inspector,2026-03-15,Verified,EV202639,Udupi Town Police Station jurisdiction,Central Evidence Room,OFF039,FSL Udupi,FR39,Recorded,evidence39.jpg,AI OCR Scanned & indexed
EVD039,KSP/DIS010/2026/0039,Document,Key evidence gathered for Domestic Violence,Udupi Sub Inspector,2026-04-15,Verified,EV202640,Udupi Town Police Station jurisdiction,Central Evidence Room,OFF040,FSL Udupi,FR40,Recorded,evidence40.jpg,AI OCR Scanned & indexed
EVD040,KSP/DIS010/2026/0040,Video,Key evidence gathered for Kidnapping,Udupi SP,2026-05-15,Verified,EV202641,Udupi Town Police Station jurisdiction,Central Evidence Room,OFF038,FSL Udupi,FR41,Recorded,evidence41.jpg,AI OCR Scanned & indexed
