AIAnalysisID,CaseID,CrimePattern,SuspectPrediction,RiskScore,MOType,HotspotLocation,AnalysisDate,Recommendation
AI00025,KSP/DIS025/2026/00025,Environmental & Forest Crime Pattern Cluster #6,No prior criminal record detected,70,Forest Crime,Kalaburagi Sector 2,2026-02-26,Deploy Hoysala patrol unit to Kalaburagi Town PS and monitor CCTV feeds.
AI00026,KSP/DIS026/2026/00026,Terror & National Security Pattern Cluster #7,No prior criminal record detected,71,Terror Related Activity,Bidar Sector 3,2026-03-27,Deploy Hoysala patrol unit to Bidar Central PS and monitor CCTV feeds.
AI00027,KSP/DIS027/2026/00027,Economic & White Collar Offence Pattern Cluster #8,No prior criminal record detected,72,Corruption,Raichur Sector 4,2026-04-28,Deploy Hoysala patrol unit to Raichur Cyber Crime PS and monitor CCTV feeds.
AI00028,KSP/DIS028/2026/00028,Economic & White Collar Offence Pattern Cluster #9,High match with repeat offender Vikas Shetty,73,Economic Offence,Koppal Sector 5,2026-05-01,Deploy Hoysala patrol unit to Koppal Traffic PS and monitor CCTV feeds.
AI00029,KSP/DIS029/2026/00029,Economic & White Collar Offence Pattern Cluster #10,No prior criminal record detected,74,White Collar Crime,Yadgir Sector 6,2026-06-02,Deploy Hoysala patrol unit to Yadgir Town PS and monitor CCTV feeds.
AI00030,KSP/DIS030/2026/00030,Organized Crime & Extortion Pattern Cluster #11,No prior criminal record detected,75,Smuggling,Ballari Sector 7,2026-07-03,Deploy Hoysala patrol unit to Ballari Central PS and monitor CCTV feeds.
AI00031,KSP/DIS031/2026/00031,Organized Crime & Extortion Pattern Cluster #12,No prior criminal record detected,76,Extortion,Vijayanagara (Hospete) Sector 8,2026-08-04,Deploy Hoysala patrol unit to Vijayanagara (Hospete) Cyber Crime PS and monitor CCTV feeds.
AI00032,KSP/DIS001/2026/00032,Organized Crime & Extortion Pattern Cluster #13,High match with repeat offender Rohan Naik,77,Blackmail,Bengaluru Urban Sector 1,2026-09-05,Deploy Hoysala patrol unit to Cubbon Park Police Station and monitor CCTV feeds.
AI00033,KSP/DIS002/2026/00033,Economic & White Collar Offence Pattern Cluster #14,No prior criminal record detected,78,Counterfeit Currency,Bengaluru Rural Sector 2,2026-10-06,Deploy Hoysala patrol unit to Bengaluru Rural Town PS and monitor CCTV feeds.
AI00034,KSP/DIS003/2026/00034,Economic & White Collar Offence Pattern Cluster #15,No prior criminal record detected,79,Fake Documents,Ramanagara Sector 3,2026-11-07,Deploy Hoysala patrol unit to Ramanagara Central PS and monitor CCTV feeds.
AI00035,KSP/DIS004/2026/00035,Traffic & Road Incident Pattern Cluster #16,No prior criminal record detected,80,Hit and Run,Chikkaballapura Sector 4,2026-12-08,Deploy Hoysala patrol unit to Chikkaballapura Cyber Crime PS and monitor CCTV feeds.
AI00036,KSP/DIS005/2026/00036,Traffic & Road Incident Pattern Cluster #17,High match with repeat offender Santosh Kumar,81,Road Accident,Kolar Sector 5,2026-01-09,Deploy Hoysala patrol unit to Kolar Traffic PS and monitor CCTV feeds.
AI00037,KSP/DIS006/2026/00037,Public Disturbance & Miscellaneous Pattern Cluster #18,No prior criminal record detected,82,Fire Incident,Tumakuru Sector 6,2026-02-10,Deploy Hoysala patrol unit to Tumakuru Town PS and monitor CCTV feeds.
AI00038,KSP/DIS007/2026/00038,Public Disturbance & Miscellaneous Pattern Cluster #19,No prior criminal record detected,83,Unknown Dead Body,Shivamogga Sector 7,2026-03-11,Deploy Hoysala patrol unit to Shivamogga Central PS and monitor CCTV feeds.
AI00039,KSP/DIS008/2026/00039,Public Disturbance & Miscellaneous Pattern Cluster #20,No prior criminal record detected,84,Suicide Investigation,Chitradurga Sector 8,2026-04-12,Deploy Hoysala patrol unit to Chitradurga Cyber Crime PS and monitor CCTV feeds.
AI00040,KSP/DIS009/2026/00040,Public Disturbance & Miscellaneous Pattern Cluster #1,High match with repeat offender Manjunath Verma,85,Property Disputes,Davanagere Sector 1,2026-05-13,Deploy Hoysala patrol unit to Davanagere Traffic PS and monitor CCTV feeds.
AI00041,KSP/DIS010/2026/00041,Public Disturbance & Miscellaneous Pattern Cluster #2,No prior criminal record detected,86,Public Disturbance,Mysuru Sector 2,2026-06-14,Deploy Hoysala patrol unit to Mysuru Town PS and monitor CCTV feeds.
AI00042,KSP/DIS011/2026/00042,Narcotics & Contraband Pattern Cluster #3,No prior criminal record detected,87,Synthetic Drugs (MDMA),Mandya Sector 3,2026-07-15,Deploy Hoysala patrol unit to Mandya Central PS and monitor CCTV feeds.
AI00043,KSP/DIS012/2026/00043,Violent Crime Pattern Cluster #4,No prior criminal record detected,88,Murder,Hassan Sector 4,2026-08-16,Deploy Hoysala patrol unit to Hassan Cyber Crime PS and monitor CCTV feeds.
AI00044,KSP/DIS013/2026/00044,Violent Crime Pattern Cluster #5,High match with repeat offender Praveen Kulkarni,89,Attempt to Murder,Chamarajanagara Sector 5,2026-09-17,Deploy Hoysala patrol unit to Chamarajanagara Traffic PS and monitor CCTV feeds.
AI00045,KSP/DIS014/2026/00045,Violent Crime Pattern Cluster #6,No prior criminal record detected,90,Assault & Grievous Hurt,Kodagu Sector 6,2026-10-18,Deploy Hoysala patrol unit to Kodagu Town PS and monitor CCTV feeds.
AI00046,KSP/DIS015/2026/00046,Violent Crime Pattern Cluster #7,No prior criminal record detected,91,Kidnapping,Dakshina Kannada (Mangaluru) Sector 7,2026-11-19,Deploy Hoysala patrol unit to Dakshina Kannada (Mangaluru) Central PS and monitor CCTV feeds.
AI00047,KSP/DIS016/2026/00047,Violent Crime Pattern Cluster #8,No prior criminal record detected,92,Missing Person,Udupi Sector 8,2026-12-20,Deploy Hoysala patrol unit to Udupi Cyber Crime PS and monitor CCTV feeds.
AI00048,KSP/DIS017/2026/00048,Property Crime Pattern Cluster #9,High match with repeat offender Vikas Deshmukh,93,Theft,Uttara Kannada (Karwar) Sector 1,2026-01-21,Deploy Hoysala patrol unit to Uttara Kannada (Karwar) Traffic PS and monitor CCTV feeds.
AI00049,KSP/DIS018/2026/00049,Vehicle Theft Pattern Cluster #10,No prior criminal record detected,94,Vehicle Theft,Belagavi Sector 2,2026-02-22,Deploy Hoysala patrol unit to Belagavi Town PS and monitor CCTV feeds.
AI00050,KSP/DIS019/2026/00050,Property Crime Pattern Cluster #11,No prior criminal record detected,45,Burglary,Dharwad Sector 3,2026-03-23,Deploy Hoysala patrol unit to Dharwad Central PS and monitor CCTV feeds.
AI00051,KSP/DIS020/2026/00051,Property Crime Pattern Cluster #12,No prior criminal record detected,46,Robbery,Hubballi City Sector 4,2026-04-24,Deploy Hoysala patrol unit to Hubballi City Cyber Crime PS and monitor CCTV feeds.
AI00052,KSP/DIS021/2026/00052,Property Crime Pattern Cluster #13,High match with repeat offender Rohan Gowda,47,Chain Snatching,Gadag Sector 5,2026-05-25,Deploy Hoysala patrol unit to Gadag Traffic PS and monitor CCTV feeds.
AI00053,KSP/DIS022/2026/00053,Cyber Crime & Online Fraud Pattern Cluster #14,No prior criminal record detected,48,Cyber Crime,Haveri Sector 6,2026-06-26,Deploy Hoysala patrol unit to Haveri Town PS and monitor CCTV feeds.
AI00054,KSP/DIS023/2026/00054,Cyber Crime & Online Fraud Pattern Cluster #15,No prior criminal record detected,49,UPI Fraud,Vijayapura Sector 7,2026-07-27,Deploy Hoysala patrol unit to Vijayapura Central PS and monitor CCTV feeds.
AI00055,KSP/DIS024/2026/00055,Cyber Crime & Online Fraud Pattern Cluster #16,No prior criminal record detected,50,Online Banking Fraud,Bagalkote Sector 8,2026-08-28,Deploy Hoysala patrol unit to Bagalkote Cyber Crime PS and monitor CCTV feeds.
AI00056,KSP/DIS025/2026/00056,Cyber Crime & Online Fraud Pattern Cluster #17,High match with repeat offender Santosh Sharma,51,Identity Theft,Kalaburagi Sector 1,2026-09-01,Deploy Hoysala patrol unit to Kalaburagi Traffic PS and monitor CCTV feeds.
AI00057,KSP/DIS026/2026/00057,Cyber Crime & Online Fraud Pattern Cluster #18,No prior criminal record detected,52,ATM Fraud,Bidar Sector 2,2026-10-02,Deploy Hoysala patrol unit to Bidar Town PS and monitor CCTV feeds.
AI00058,KSP/DIS027/2026/00058,Crime Against Women & Children Pattern Cluster #19,No prior criminal record detected,53,Rape,Raichur Sector 3,2026-11-03,Deploy Hoysala patrol unit to Raichur Central PS and monitor CCTV feeds.
AI00059,KSP/DIS028/2026/00059,Crime Against Women & Children Pattern Cluster #20,No prior criminal record detected,54,Sexual Assault,Koppal Sector 4,2026-12-04,Deploy Hoysala patrol unit to Koppal Cyber Crime PS and monitor CCTV feeds.
AI00060,KSP/DIS029/2026/00060,Crime Against Women & Children Pattern Cluster #1,High match with repeat offender Manjunath Khan,55,POCSO,Yadgir Sector 5,2026-01-05,Deploy Hoysala patrol unit to Yadgir Traffic PS and monitor CCTV feeds.
AI00061,KSP/DIS030/2026/00061,Crime Against Women & Children Pattern Cluster #2,No prior criminal record detected,56,Domestic Violence,Ballari Sector 6,2026-02-06,Deploy Hoysala patrol unit to Ballari Town PS and monitor CCTV feeds.
AI00062,KSP/DIS031/2026/00062,Organized Crime & Extortion Pattern Cluster #3,No prior criminal record detected,57,Illegal Weapons,Vijayanagara (Hospete) Sector 7,2026-03-07,Deploy Hoysala patrol unit to Vijayanagara (Hospete) Central PS and monitor CCTV feeds.
AI00063,KSP/DIS001/2026/00063,Narcotics & Contraband Pattern Cluster #4,No prior criminal record detected,58,Drug Trafficking,Bengaluru Urban Sector 8,2026-04-08,Deploy Hoysala patrol unit to Jayanagar Police Station and monitor CCTV feeds.
AI00064,KSP/DIS002/2026/00064,Organized Crime & Extortion Pattern Cluster #5,High match with repeat offender Praveen Shetty,59,Human Trafficking,Bengaluru Rural Sector 1,2026-05-09,Deploy Hoysala patrol unit to Bengaluru Rural Traffic PS and monitor CCTV feeds.
AI00065,KSP/DIS003/2026/00065,Public Disturbance & Miscellaneous Pattern Cluster #6,No prior criminal record detected,60,Gambling,Ramanagara Sector 2,2026-06-10,Deploy Hoysala patrol unit to Ramanagara Town PS and monitor CCTV feeds.
AI00066,KSP/DIS004/2026/00066,Environmental & Forest Crime Pattern Cluster #7,No prior criminal record detected,61,Wildlife Crime,Chikkaballapura Sector 3,2026-07-11,Deploy Hoysala patrol unit to Chikkaballapura Central PS and monitor CCTV feeds.
AI00067,KSP/DIS005/2026/00067,Environmental & Forest Crime Pattern Cluster #8,No prior criminal record detected,62,Forest Crime,Kolar Sector 4,2026-08-12,Deploy Hoysala patrol unit to Kolar Cyber Crime PS and monitor CCTV feeds.
AI00068,KSP/DIS006/2026/00068,Terror & National Security Pattern Cluster #9,High match with repeat offender Vikas Naik,63,Terror Related Activity,Tumakuru Sector 5,2026-09-13,Deploy Hoysala patrol unit to Tumakuru Traffic PS and monitor CCTV feeds.
AI00069,KSP/DIS007/2026/00069,Economic & White Collar Offence Pattern Cluster #10,No prior criminal record detected,64,Corruption,Shivamogga Sector 6,2026-10-14,Deploy Hoysala patrol unit to Shivamogga Town PS and monitor CCTV feeds.
AI00070,KSP/DIS008/2026/00070,Economic & White Collar Offence Pattern Cluster #11,No prior criminal record detected,65,Economic Offence,Chitradurga Sector 7,2026-11-15,Deploy Hoysala patrol unit to Chitradurga Central PS and monitor CCTV feeds.
AI00071,KSP/DIS009/2026/00071,Economic & White Collar Offence Pattern Cluster #12,No prior criminal record detected,66,White Collar Crime,Davanagere Sector 8,2026-12-16,Deploy Hoysala patrol unit to Davanagere Cyber Crime PS and monitor CCTV feeds.
AI00072,KSP/DIS010/2026/00072,Organized Crime & Extortion Pattern Cluster #13,High match with repeat offender Rohan Kumar,67,Smuggling,Mysuru Sector 1,2026-01-17,Deploy Hoysala patrol unit to Mysuru Traffic PS and monitor CCTV feeds.
AI00073,KSP/DIS011/2026/00073,Organized Crime & Extortion Pattern Cluster #14,No prior criminal record detected,68,Extortion,Mandya Sector 2,2026-02-18,Deploy Hoysala patrol unit to Mandya Town PS and monitor CCTV feeds.
AI00074,KSP/DIS012/2026/00074,Organized Crime & Extortion Pattern Cluster #15,No prior criminal record detected,69,Blackmail,Hassan Sector 3,2026-03-19,Deploy Hoysala patrol unit to Hassan Central PS and monitor CCTV feeds.
AI00075,KSP/DIS013/2026/00075,Economic & White Collar Offence Pattern Cluster #16,No prior criminal record detected,70,Counterfeit Currency,Chamarajanagara Sector 4,2026-04-20,Deploy Hoysala patrol unit to Chamarajanagara Cyber Crime PS and monitor CCTV feeds.
AI00076,KSP/DIS014/2026/00076,Economic & White Collar Offence Pattern Cluster #17,High match with repeat offender Santosh Verma,71,Fake Documents,Kodagu Sector 5,2026-05-21,Deploy Hoysala patrol unit to Kodagu Traffic PS and monitor CCTV feeds.
AI00077,KSP/DIS015/2026/00077,Traffic & Road Incident Pattern Cluster #18,No prior criminal record detected,72,Hit and Run,Dakshina Kannada (Mangaluru) Sector 6,2026-06-22,Deploy Hoysala patrol unit to Dakshina Kannada (Mangaluru) Town PS and monitor CCTV feeds.
AI00078,KSP/DIS016/2026/00078,Traffic & Road Incident Pattern Cluster #19,No prior criminal record detected,73,Road Accident,Udupi Sector 7,2026-07-23,Deploy Hoysala patrol unit to Udupi Central PS and monitor CCTV feeds.
AI00079,KSP/DIS017/2026/00079,Public Disturbance & Miscellaneous Pattern Cluster #20,No prior criminal record detected,74,Fire Incident,Uttara Kannada (Karwar) Sector 8,2026-08-24,Deploy Hoysala patrol unit to Uttara Kannada (Karwar) Cyber Crime PS and monitor CCTV feeds.
AI00080,KSP/DIS018/2026/00080,Public Disturbance & Miscellaneous Pattern Cluster #1,High match with repeat offender Manjunath Kulkarni,75,Unknown Dead Body,Belagavi Sector 1,2026-09-25,Deploy Hoysala patrol unit to Belagavi Traffic PS and monitor CCTV feeds.
AI00081,KSP/DIS019/2026/00081,Public Disturbance & Miscellaneous Pattern Cluster #2,No prior criminal record detected,76,Suicide Investigation,Dharwad Sector 2,2026-10-26,Deploy Hoysala patrol unit to Dharwad Town PS and monitor CCTV feeds.
AI00082,KSP/DIS020/2026/00082,Public Disturbance & Miscellaneous Pattern Cluster #3,No prior criminal record detected,77,Property Disputes,Hubballi City Sector 3,2026-11-27,Deploy Hoysala patrol unit to Hubballi City Central PS and monitor CCTV feeds.
AI00083,KSP/DIS021/2026/00083,Public Disturbance & Miscellaneous Pattern Cluster #4,No prior criminal record detected,78,Public Disturbance,Gadag Sector 4,2026-12-28,Deploy Hoysala patrol unit to Gadag Cyber Crime PS and monitor CCTV feeds.
AI00084,KSP/DIS022/2026/00084,Narcotics & Contraband Pattern Cluster #5,High match with repeat offender Praveen Deshmukh,79,Synthetic Drugs (MDMA),Haveri Sector 5,2026-01-01,Deploy Hoysala patrol unit to Haveri Traffic PS and monitor CCTV feeds.
AI00085,KSP/DIS023/2026/00085,Violent Crime Pattern Cluster #6,No prior criminal record detected,80,Murder,Vijayapura Sector 6,2026-02-02,Deploy Hoysala patrol unit to Vijayapura Town PS and monitor CCTV feeds.
AI00086,KSP/DIS024/2026/00086,Violent Crime Pattern Cluster #7,No prior criminal record detected,81,Attempt to Murder,Bagalkote Sector 7,2026-03-03,Deploy Hoysala patrol unit to Bagalkote Central PS and monitor CCTV feeds.
AI00087,KSP/DIS025/2026/00087,Violent Crime Pattern Cluster #8,No prior criminal record detected,82,Assault & Grievous Hurt,Kalaburagi Sector 8,2026-04-04,Deploy Hoysala patrol unit to Kalaburagi Cyber Crime PS and monitor CCTV feeds.
AI00088,KSP/DIS026/2026/00088,Violent Crime Pattern Cluster #9,High match with repeat offender Vikas Gowda,83,Kidnapping,Bidar Sector 1,2026-05-05,Deploy Hoysala patrol unit to Bidar Traffic PS and monitor CCTV feeds.
AI00089,KSP/DIS027/2026/00089,Violent Crime Pattern Cluster #10,No prior criminal record detected,84,Missing Person,Raichur Sector 2,2026-06-06,Deploy Hoysala patrol unit to Raichur Town PS and monitor CCTV feeds.
AI00090,KSP/DIS028/2026/00090,Property Crime Pattern Cluster #11,No prior criminal record detected,85,Theft,Koppal Sector 3,2026-07-07,Deploy Hoysala patrol unit to Koppal Central PS and monitor CCTV feeds.
AI00091,KSP/DIS029/2026/00091,Vehicle Theft Pattern Cluster #12,No prior criminal record detected,86,Vehicle Theft,Yadgir Sector 4,2026-08-08,Deploy Hoysala patrol unit to Yadgir Cyber Crime PS and monitor CCTV feeds.
AI00092,KSP/DIS030/2026/00092,Property Crime Pattern Cluster #13,High match with repeat offender Rohan Sharma,87,Burglary,Ballari Sector 5,2026-09-09,Deploy Hoysala patrol unit to Ballari Traffic PS and monitor CCTV feeds.
AI00093,KSP/DIS031/2026/00093,Property Crime Pattern Cluster #14,No prior criminal record detected,88,Robbery,Vijayanagara (Hospete) Sector 6,2026-10-10,Deploy Hoysala patrol unit to Vijayanagara (Hospete) Town PS and monitor CCTV feeds.
AI00094,KSP/DIS001/2026/00094,Property Crime Pattern Cluster #15,No prior criminal record detected,89,Chain Snatching,Bengaluru Urban Sector 7,2026-11-11,Deploy Hoysala patrol unit to Bengaluru Urban Traffic PS and monitor CCTV feeds.
AI00095,KSP/DIS002/2026/00095,Cyber Crime & Online Fraud Pattern Cluster #16,No prior criminal record detected,90,Cyber Crime,Bengaluru Rural Sector 8,2026-12-12,Deploy Hoysala patrol unit to Bengaluru Rural Cyber Crime PS and monitor CCTV feeds.
AI00096,KSP/DIS003/2026/00096,Cyber Crime & Online Fraud Pattern Cluster #17,High match with repeat offender Santosh Khan,91,UPI Fraud,Ramanagara Sector 1,2026-01-13,Deploy Hoysala patrol unit to Ramanagara Traffic PS and monitor CCTV feeds.
AI00097,KSP/DIS004/2026/00097,Cyber Crime & Online Fraud Pattern Cluster #18,No prior criminal record detected,92,Online Banking Fraud,Chikkaballapura Sector 2,2026-02-14,Deploy Hoysala patrol unit to Chikkaballapura Town PS and monitor CCTV feeds.
AI00098,KSP/DIS005/2026/00098,Cyber Crime & Online Fraud Pattern Cluster #19,No prior criminal record detected,93,Identity Theft,Kolar Sector 3,2026-03-15,Deploy Hoysala patrol unit to Kolar Central PS and monitor CCTV feeds.
AI00099,KSP/DIS006/2026/00099,Cyber Crime & Online Fraud Pattern Cluster #20,No prior criminal record detected,94,ATM Fraud,Tumakuru Sector 4,2026-04-16,Deploy Hoysala patrol unit to Tumakuru Cyber Crime PS and monitor CCTV feeds.
AI00100,KSP/DIS007/2026/00100,Crime Against Women & Children Pattern Cluster #1,High match with repeat offender Manjunath Shetty,45,Rape,Shivamogga Sector 5,2026-05-17,Deploy Hoysala patrol unit to Shivamogga Traffic PS and monitor CCTV feeds.
AI00101,KSP/DIS008/2026/00101,Crime Against Women & Children Pattern Cluster #2,No prior criminal record detected,46,Sexual Assault,Chitradurga Sector 6,2026-06-18,Deploy Hoysala patrol unit to Chitradurga Town PS and monitor CCTV feeds.
AI00102,KSP/DIS009/2026/00102,Crime Against Women & Children Pattern Cluster #3,No prior criminal record detected,47,POCSO,Davanagere Sector 7,2026-07-19,Deploy Hoysala patrol unit to Davanagere Central PS and monitor CCTV feeds.
AI00103,KSP/DIS010/2026/00103,Crime Against Women & Children Pattern Cluster #4,No prior criminal record detected,48,Domestic Violence,Mysuru Sector 8,2026-08-20,Deploy Hoysala patrol unit to Mysuru Cyber Crime PS and monitor CCTV feeds.
AI00104,KSP/DIS011/2026/00104,Organized Crime & Extortion Pattern Cluster #5,High match with repeat offender Praveen Naik,49,Illegal Weapons,Mandya Sector 1,2026-09-21,Deploy Hoysala patrol unit to Mandya Traffic PS and monitor CCTV feeds.
AI00105,KSP/DIS012/2026/00105,Narcotics & Contraband Pattern Cluster #6,No prior criminal record detected,50,Drug Trafficking,Hassan Sector 2,2026-10-22,Deploy Hoysala patrol unit to Hassan Town PS and monitor CCTV feeds.
AI00106,KSP/DIS013/2026/00106,Organized Crime & Extortion Pattern Cluster #7,No prior criminal record detected,51,Human Trafficking,Chamarajanagara Sector 3,2026-11-23,Deploy Hoysala patrol unit to Chamarajanagara Central PS and monitor CCTV feeds.
AI00107,KSP/DIS014/2026/00107,Public Disturbance & Miscellaneous Pattern Cluster #8,No prior criminal record detected,52,Gambling,Kodagu Sector 4,2026-12-24,Deploy Hoysala patrol unit to Kodagu Cyber Crime PS and monitor CCTV feeds.
AI00108,KSP/DIS015/2026/00108,Environmental & Forest Crime Pattern Cluster #9,High match with repeat offender Vikas Kumar,53,Wildlife Crime,Dakshina Kannada (Mangaluru) Sector 5,2026-01-25,Deploy Hoysala patrol unit to Dakshina Kannada (Mangaluru) Traffic PS and monitor CCTV feeds.
AI00109,KSP/DIS016/2026/00109,Environmental & Forest Crime Pattern Cluster #10,No prior criminal record detected,54,Forest Crime,Udupi Sector 6,2026-02-26,Deploy Hoysala patrol unit to Udupi Town PS and monitor CCTV feeds.
AI00110,KSP/DIS017/2026/00110,Terror & National Security Pattern Cluster #11,No prior criminal record detected,55,Terror Related Activity,Uttara Kannada (Karwar) Sector 7,2026-03-27,Deploy Hoysala patrol unit to Uttara Kannada (Karwar) Central PS and monitor CCTV feeds.
AI00111,KSP/DIS018/2026/00111,Economic & White Collar Offence Pattern Cluster #12,No prior criminal record detected,56,Corruption,Belagavi Sector 8,2026-04-28,Deploy Hoysala patrol unit to Belagavi Cyber Crime PS and monitor CCTV feeds.
AI00112,KSP/DIS019/2026/00112,Economic & White Collar Offence Pattern Cluster #13,High match with repeat offender Rohan Verma,57,Economic Offence,Dharwad Sector 1,2026-05-01,Deploy Hoysala patrol unit to Dharwad Traffic PS and monitor CCTV feeds.
AI00113,KSP/DIS020/2026/00113,Economic & White Collar Offence Pattern Cluster #14,No prior criminal record detected,58,White Collar Crime,Hubballi City Sector 2,2026-06-02,Deploy Hoysala patrol unit to Hubballi City Town PS and monitor CCTV feeds.
