CrimeNumber,CrimeRegisteredDate,BriefFacts,CaseStatus,CrimeMajorHead,CrimeMinorHead,PoliceStation,District,Latitude,Longitude,CaseStatusID,CategoryID,GravityID,CrimeHeadID,CrimeSubHeadID,UnitID,DistrictID,OfficerID
KSP/DIS003/2026/0011,2026-06-15,"Unauthorized online bank transfer via phishing link. Location: Mangaluru North Police Station, Mangaluru.",Under Investigation,Cyber Crime,Financial Phishing Fraud,Mangaluru North Police Station,Mangaluru,12.9183,74.8431,CS001,CAT004,GR007,CH006,CSH011,U007,DIS003,OFF019
KSP/DIS003/2026/0012,2026-01-15,"Two-wheeler stolen from public parking area outside commercial complex. Location: Mangaluru North Police Station, Mangaluru.",Charge Sheeted,Theft,Vehicle Theft,Mangaluru North Police Station,Mangaluru,12.9214,74.8783,CS002,CAT002,GR003,CH003,CSH005,U007,DIS003,OFF017
KSP/DIS004/2026/0013,2026-02-15,"Lock broken and cash seized from electronic shop overnight. Location: Belagavi Police Station, Belagavi.",Under Investigation,Burglary,Commercial Burglary,Belagavi Police Station,Belagavi,15.8681,74.4977,CS001,CAT002,GR006,CH004,CSH008,U008,DIS004,OFF008
KSP/DIS004/2026/0014,2026-03-15,"Commercial quantity of contraband seized during highway vehicular check. Location: Belagavi Police Station, Belagavi.",Charge Sheeted,Narcotics Offence,Drug Trafficking,Belagavi Police Station,Belagavi,15.8596,74.4792,CS002,CAT006,GR009,CH008,CSH015,U008,DIS004,OFF020
KSP/DIS004/2026/0015,2026-04-15,"Physical assault and spousal harassment complaint lodged. Location: Belagavi Police Station, Belagavi.",Under Investigation,Domestic Violence,Domestic Assault,Belagavi Police Station,Belagavi,15.8702,74.4854,CS001,CAT005,GR005,CH007,CSH013,U008,DIS004,OFF021
KSP/DIS004/2026/0016,2026-05-15,"Abduction reported with demand for financial ransom. Location: Belagavi Police Station, Belagavi.",Charge Sheeted,Kidnapping,Ransom Kidnapping,Belagavi Police Station,Belagavi,15.8407,74.4819,CS002,CAT001,GR010,CH002,CSH004,U008,DIS004,OFF022
KSP/DIS005/2026/0017,2026-06-15,"Victim found dead under suspicious circumstances in residential quarters. Location: Hubballi Town Police Station, Hubballi-Dharwad.",Under Investigation,Murder,Homicide,Hubballi Town Police Station,Hubballi-Dharwad,15.3497,75.1049,CS001,CAT001,GR010,CH001,CSH001,U009,DIS005,OFF023
KSP/DIS005/2026/0018,2026-01-15,"Violent physical altercation involving sharp weapons reported at main market. Location: Hubballi Town Police Station, Hubballi-Dharwad.",Charge Sheeted,Attempt to Murder,Attempted Homicide,Hubballi Town Police Station,Hubballi-Dharwad,15.3761,75.1400,CS002,CAT001,GR008,CH001,CSH002,U009,DIS005,OFF024
KSP/DIS005/2026/0019,2026-02-15,"Unauthorized online bank transfer via phishing link. Location: Hubballi Town Police Station, Hubballi-Dharwad.",Under Investigation,Cyber Crime,Financial Phishing Fraud,Hubballi Town Police Station,Hubballi-Dharwad,15.3673,75.1329,CS001,CAT004,GR007,CH006,CSH011,U009,DIS005,OFF025
KSP/DIS005/2026/0020,2026-03-15,"Two-wheeler stolen from public parking area outside commercial complex. Location: Hubballi Town Police Station, Hubballi-Dharwad.",Charge Sheeted,Theft,Vehicle Theft,Hubballi Town Police Station,Hubballi-Dharwad,15.3500,75.1016,CS002,CAT002,GR003,CH003,CSH005,U009,DIS005,OFF023
KSP/DIS006/2026/0021,2026-04-15,"Lock broken and cash seized from electronic shop overnight. Location: Shivamogga Police Station, Shivamogga.",Under Investigation,Burglary,Commercial Burglary,Shivamogga Police Station,Shivamogga,13.9316,75.5703,CS001,CAT002,GR006,CH004,CSH008,U010,DIS006,OFF026
KSP/DIS006/2026/0022,2026-05-15,"Commercial quantity of contraband seized during highway vehicular check. Location: Shivamogga Police Station, Shivamogga.",Charge Sheeted,Narcotics Offence,Drug Trafficking,Shivamogga Police Station,Shivamogga,13.9458,75.5774,CS002,CAT006,GR009,CH008,CSH015,U010,DIS006,OFF027
KSP/DIS006/2026/0023,2026-06-15,"Physical assault and spousal harassment complaint lodged. Location: Shivamogga Police Station, Shivamogga.",Under Investigation,Domestic Violence,Domestic Assault,Shivamogga Police Station,Shivamogga,13.9485,75.5548,CS001,CAT005,GR005,CH007,CSH013,U010,DIS006,OFF028
KSP/DIS006/2026/0024,2026-01-15,"Abduction reported with demand for financial ransom. Location: Shivamogga Police Station, Shivamogga.",Charge Sheeted,Kidnapping,Ransom Kidnapping,Shivamogga Police Station,Shivamogga,13.9054,75.5666,CS002,CAT001,GR010,CH002,CSH004,U010,DIS006,OFF026
KSP/DIS007/2026/0025,2026-02-15,"Victim found dead under suspicious circumstances in residential quarters. Location: Davanagere Town Police Station, Davanagere.",Under Investigation,Murder,Homicide,Davanagere Town Police Station,Davanagere,14.4786,75.8990,CS001,CAT001,GR010,CH001,CSH001,U011,DIS007,OFF029
KSP/DIS007/2026/0026,2026-03-15,"Violent physical altercation involving sharp weapons reported at main market. Location: Davanagere Town Police Station, Davanagere.",Charge Sheeted,Attempt to Murder,Attempted Homicide,Davanagere Town Police Station,Davanagere,14.4893,75.9438,CS002,CAT001,GR008,CH001,CSH002,U011,DIS007,OFF030
KSP/DIS007/2026/0027,2026-04-15,"Unauthorized online bank transfer via phishing link. Location: Davanagere Town Police Station, Davanagere.",Under Investigation,Cyber Crime,Financial Phishing Fraud,Davanagere Town Police Station,Davanagere,14.4765,75.9170,CS001,CAT004,GR007,CH006,CSH011,U011,DIS007,OFF031
KSP/DIS007/2026/0028,2026-05-15,"Two-wheeler stolen from public parking area outside commercial complex. Location: Davanagere Town Police Station, Davanagere.",Charge Sheeted,Theft,Vehicle Theft,Davanagere Town Police Station,Davanagere,14.4875,75.9437,CS002,CAT002,GR003,CH003,CSH005,U011,DIS007,OFF029
KSP/DIS008/2026/0029,2026-06-15,"Lock broken and cash seized from electronic shop overnight. Location: Ballari Central Police Station, Ballari.",Under Investigation,Burglary,Commercial Burglary,Ballari Central Police Station,Ballari,15.1593,76.8980,CS001,CAT002,GR006,CH004,CSH008,U012,DIS008,OFF032
KSP/DIS008/2026/0030,2026-01-15,"Commercial quantity of contraband seized during highway vehicular check. Location: Ballari Central Police Station, Ballari.",Charge Sheeted,Narcotics Offence,Drug Trafficking,Ballari Central Police Station,Ballari,15.1401,76.9157,CS002,CAT006,GR009,CH008,CSH015,U012,DIS008,OFF033
KSP/DIS008/2026/0031,2026-02-15,"Physical assault and spousal harassment complaint lodged. Location: Ballari Central Police Station, Ballari.",Under Investigation,Domestic Violence,Domestic Assault,Ballari Central Police Station,Ballari,15.1434,76.8968,CS001,CAT005,GR005,CH007,CSH013,U012,DIS008,OFF034
KSP/DIS008/2026/0032,2026-03-15,"Abduction reported with demand for financial ransom. Location: Ballari Central Police Station, Ballari.",Charge Sheeted,Kidnapping,Ransom Kidnapping,Ballari Central Police Station,Ballari,15.1222,76.9284,CS002,CAT001,GR010,CH002,CSH004,U012,DIS008,OFF032
KSP/DIS009/2026/0033,2026-04-15,"Victim found dead under suspicious circumstances in residential quarters. Location: Tumakuru Town Police Station, Tumakuru.",Under Investigation,Murder,Homicide,Tumakuru Town Police Station,Tumakuru,13.3282,77.0914,CS001,CAT001,GR010,CH001,CSH001,U013,DIS009,OFF035
KSP/DIS009/2026/0034,2026-05-15,"Violent physical altercation involving sharp weapons reported at main market. Location: Tumakuru Town Police Station, Tumakuru.",Charge Sheeted,Attempt to Murder,Attempted Homicide,Tumakuru Town Police Station,Tumakuru,13.3168,77.1215,CS002,CAT001,GR008,CH001,CSH002,U013,DIS009,OFF036
KSP/DIS009/2026/0035,2026-06-15,"Unauthorized online bank transfer via phishing link. Location: Tumakuru Town Police Station, Tumakuru.",Under Investigation,Cyber Crime,Financial Phishing Fraud,Tumakuru Town Police Station,Tumakuru,13.3474,77.1225,CS001,CAT004,GR007,CH006,CSH011,U013,DIS009,OFF037
KSP/DIS009/2026/0036,2026-01-15,"Two-wheeler stolen from public parking area outside commercial complex. Location: Tumakuru Town Police Station, Tumakuru.",Charge Sheeted,Theft,Vehicle Theft,Tumakuru Town Police Station,Tumakuru,13.3554,77.1137,CS002,CAT002,GR003,CH003,CSH005,U013,DIS009,OFF035
KSP/DIS010/2026/0037,2026-02-15,"Lock broken and cash seized from electronic shop overnight. Location: Udupi Town Police Station, Udupi.",Under Investigation,Burglary,Commercial Burglary,Udupi Town Police Station,Udupi,13.3397,74.7505,CS001,CAT002,GR006,CH004,CSH008,U014,DIS010,OFF038
KSP/DIS010/2026/0038,2026-03-15,"Commercial quantity of contraband seized during highway vehicular check. Location: Udupi Town Police Station, Udupi.",Charge Sheeted,Narcotics Offence,Drug Trafficking,Udupi Town Police Station,Udupi,13.3580,74.7251,CS002,CAT006,GR009,CH008,CSH015,U014,DIS010,OFF039
KSP/DIS010/2026/0039,2026-04-15,"Physical assault and spousal harassment complaint lodged. Location: Udupi Town Police Station, Udupi.",Under Investigation,Domestic Violence,Domestic Assault,Udupi Town Police Station,Udupi,13.3464,74.7247,CS001,CAT005,GR005,CH007,CSH013,U014,DIS010,OFF040
KSP/DIS010/2026/0040,2026-05-15,"Abduction reported with demand for financial ransom. Location: Udupi Town Police Station, Udupi.",Charge Sheeted,Kidnapping,Ransom Kidnapping,Udupi Town Police Station,Udupi,13.3533,74.7525,CS002,CAT001,GR010,CH002,CSH004,U014,DIS010,OFF038
